height,num_transactions,utxo_set_size,total_utxo_value
0,1,1,5000000000
1,1,1,5000000000
2,1,1,5000000000
3,1,1,5000000000
4,1,1,5000000000
5,2,3,10000000000
6,2,4,9999999000
7,2,5,9999998000
8,2,6,9999997000
9,2,6,9999996000
10,2,8,14999996000
11,2,9,14999995000
12,2,10,14999994000
13,2,11,14999993000
14,2,11,14999992000
15,2,13,19999992000
16,2,13,19999991000
17,2,14,19999990000
18,2,14,19999989000
19,2,14,19999988000
20,2,14,19999987000
21,2,14,19999986000
22,2,14,19999985000
23,2,14,19999984000
24,2,14,19999983000
25,2,14,19999982000
26,2,14,19999981000
27,2,14,19999980000
28,2,14,19999979000
29,2,14,19999978000
30,2,14,19999977000
31,2,14,19999976000
32,2,14,19999975000
33,2,14,19999974000
34,2,14,19999973000
35,2,14,19999972000
36,2,14,19999971000
37,2,14,19999970000
38,2,14,19999969000
39,2,14,19999968000
40,2,14,19999967000
41,2,14,19999966000
