height,num_transactions,utxo_set_size,total_utxo_value
0,1,1,5000000000
1,1,1,5000000000
2,1,1,5000000000
3,1,1,5000000000
4,1,1,5000000000
5,2,3,10000000000
6,2,4,9999999000
7,2,5,9999998000
8,2,6,9999997000
9,2,7,9999996000
10,2,8,9999995000
11,2,9,9999994000
12,2,10,9999993000
13,2,11,9999992000
14,2,11,9999991000
15,2,13,14999991000
16,2,13,14999990000
17,2,13,14999989000
18,2,13,14999988000
19,2,13,14999987000
20,2,13,14999986000
21,2,13,14999985000
22,2,13,14999984000
23,2,14,14999983000
24,2,14,14999982000
25,2,15,14999981000
26,2,15,14999980000
27,2,16,14999979000
28,2,16,14999978000
29,2,17,14999977000
30,2,17,14999976000
31,2,18,14999975000
32,2,18,14999974000
33,2,19,14999973000
34,2,19,14999972000
35,2,20,14999971000
36,2,20,14999970000
37,2,21,14999969000
38,2,21,14999968000
39,2,22,14999967000
40,2,22,14999966000
41,2,22,14999965000
42,2,22,14999964000
43,2,22,14999963000
44,2,22,14999962000
45,2,22,14999961000
46,2,22,14999960000
47,2,22,14999959000
48,2,22,14999958000
49,2,22,14999957000
50,2,22,14999956000
51,2,22,14999955000
52,2,22,14999954000
53,2,22,14999953000
54,2,22,14999952000
55,2,22,14999951000
56,2,22,14999950000
57,2,22,14999949000
58,2,22,14999948000
59,2,22,14999947000
60,2,22,14999946000
61,2,22,14999945000
62,2,22,14999944000
63,2,22,14999943000
64,2,22,14999942000
65,2,22,14999941000
66,2,22,14999940000
67,2,22,14999939000
68,2,22,14999938000
69,2,22,14999937000
70,2,22,14999936000
71,2,22,14999935000
72,2,22,14999934000
73,2,22,14999933000
74,2,22,14999932000
75,2,22,14999931000
76,2,22,14999930000
77,2,22,14999929000
78,2,22,14999928000
79,2,22,14999927000
80,2,22,14999926000
81,2,22,14999925000
82,2,22,14999924000
83,2,22,14999923000
84,2,22,14999922000
85,2,22,14999921000
86,2,22,14999920000
87,2,22,14999919000
88,2,22,14999918000
89,2,22,14999917000
90,2,22,14999916000
91,2,22,14999915000
92,2,22,14999914000
93,2,22,14999913000
94,2,22,14999912000
95,2,22,14999911000
96,2,22,14999910000
97,2,22,14999909000
98,2,22,14999908000
99,2,22,14999907000
100,2,22,14999906000
101,2,22,14999905000
102,2,22,14999904000
103,2,22,14999903000
104,2,22,14999902000
105,2,22,14999901000
106,2,22,14999900000
107,2,22,14999899000
108,2,22,14999898000
109,2,22,14999897000
110,2,22,14999896000
111,2,22,14999895000
112,2,22,14999894000
113,2,22,14999893000
114,2,22,14999892000
115,2,22,14999891000
116,2,22,14999890000
117,2,22,14999889000
118,2,22,14999888000
119,2,22,14999887000
120,2,22,14999886000
121,2,22,14999885000
122,2,22,14999884000
123,2,22,14999883000
124,2,22,14999882000
125,2,22,14999881000
126,2,22,14999880000
127,2,22,14999879000
128,2,22,14999878000
129,2,22,14999877000
130,2,22,14999876000
131,2,22,14999875000
132,2,22,14999874000
133,2,22,14999873000
134,2,22,14999872000
135,2,22,14999871000
136,2,22,14999870000
137,2,22,14999869000
138,2,22,14999868000
139,2,22,14999867000
140,2,22,14999866000
141,2,22,14999865000
142,2,22,14999864000
143,2,22,14999863000
144,2,22,14999862000
145,2,22,14999861000
146,2,22,14999860000
147,2,22,14999859000
148,2,22,14999858000
149,2,22,14999857000
150,2,22,14999856000
151,2,22,14999855000
152,2,22,14999854000
153,2,22,14999853000
154,2,22,14999852000
155,2,22,14999851000
156,2,22,14999850000
157,2,22,14999849000
158,2,22,14999848000
159,2,22,14999847000
160,2,22,14999846000
161,2,22,14999845000
162,2,22,14999844000
163,2,22,14999843000
164,2,22,14999842000
165,2,22,14999841000
166,2,22,14999840000
167,2,22,14999839000
168,2,22,14999838000
169,2,22,14999837000
170,2,22,14999836000
171,2,22,14999835000
172,2,22,14999834000
173,2,22,14999833000
174,2,22,14999832000
175,2,22,14999831000
176,2,22,14999830000
177,2,22,14999829000
178,2,22,14999828000
179,2,22,14999827000
180,2,22,14999826000
181,2,22,14999825000
182,2,22,14999824000
183,2,22,14999823000
184,2,22,14999822000
185,2,22,14999821000
186,2,22,14999820000
187,2,22,14999819000
188,2,22,14999818000
189,2,22,14999817000
190,2,22,14999816000
191,2,22,14999815000
192,2,22,14999814000
193,2,22,14999813000
194,2,22,14999812000
195,2,22,14999811000
196,2,22,14999810000
197,2,22,14999809000
198,2,22,14999808000
199,2,22,14999807000
200,2,22,14999806000
201,2,22,14999805000
202,2,22,14999804000
203,2,22,14999803000
204,2,22,14999802000
205,2,22,14999801000
206,2,22,14999800000
207,2,22,14999799000
208,2,22,14999798000
209,2,22,14999797000
210,2,22,14999796000
211,2,22,14999795000
212,2,22,14999794000
213,2,22,14999793000
214,2,22,14999792000
215,2,22,14999791000
216,2,22,14999790000
217,2,22,14999789000
218,2,22,14999788000
219,2,22,14999787000
220,2,22,14999786000
221,2,22,14999785000
222,2,22,14999784000
223,2,22,14999783000
224,2,22,14999782000
225,2,22,14999781000
226,2,22,14999780000
227,2,22,14999779000
228,2,22,14999778000
229,2,22,14999777000
230,2,22,14999776000
231,2,22,14999775000
232,2,22,14999774000
233,2,22,14999773000
234,2,22,14999772000
235,2,22,14999771000
236,2,22,14999770000
237,2,22,14999769000
238,2,22,14999768000
239,2,22,14999767000
240,2,22,14999766000
241,2,22,14999765000
242,2,22,14999764000
243,2,22,14999763000
244,2,22,14999762000
245,2,22,14999761000
246,2,22,14999760000
247,2,22,14999759000
248,2,22,14999758000
249,2,22,14999757000
250,2,22,14999756000
251,2,22,14999755000
252,2,22,14999754000
253,2,22,14999753000
254,2,22,14999752000
255,2,22,14999751000
256,2,22,14999750000
257,2,22,14999749000
258,2,22,14999748000
259,2,22,14999747000
260,2,22,14999746000
261,2,22,14999745000
262,2,22,14999744000
263,2,22,14999743000
264,2,22,14999742000
265,2,22,14999741000
266,2,22,14999740000
267,2,22,14999739000
268,2,22,14999738000
269,2,22,14999737000
270,2,22,14999736000
271,2,22,14999735000
272,2,22,14999734000
273,2,22,14999733000
274,2,22,14999732000
275,2,22,14999731000
276,2,22,14999730000
277,2,22,14999729000
278,2,22,14999728000
279,2,22,14999727000
280,2,22,14999726000
281,2,22,14999725000
282,2,22,14999724000
283,2,22,14999723000
284,2,22,14999722000
285,2,22,14999721000
286,2,22,14999720000
287,2,22,14999719000
288,2,22,14999718000
289,2,22,14999717000
290,2,22,14999716000
291,2,22,14999715000
292,2,22,14999714000
293,2,22,14999713000
294,2,22,14999712000
295,2,22,14999711000
296,2,22,14999710000
297,2,22,14999709000
298,2,22,14999708000
299,2,22,14999707000
300,2,22,14999706000
301,2,22,14999705000
302,2,22,14999704000
303,2,22,14999703000
304,2,22,14999702000
305,2,22,14999701000
306,2,22,14999700000
307,2,22,14999699000
308,2,22,14999698000
309,2,22,14999697000
310,2,22,14999696000
311,2,22,14999695000
312,2,22,14999694000
313,2,22,14999693000
314,2,22,14999692000
315,2,22,14999691000
316,2,22,14999690000
317,2,22,14999689000
318,2,22,14999688000
319,2,22,14999687000
320,2,22,14999686000
321,2,22,14999685000
322,2,22,14999684000
323,2,22,14999683000
324,2,22,14999682000
325,2,22,14999681000
326,2,22,14999680000
327,2,22,14999679000
328,2,22,14999678000
329,2,22,14999677000
330,2,22,14999676000
331,2,22,14999675000
332,2,22,14999674000
333,2,22,14999673000
334,2,22,14999672000
335,2,22,14999671000
